"Plant","DateTime_start","DateTime_end","Event"
"P1","02/03/2021 00:00:00'","05/03/2021 08:30:00'","transfer"
"P2","05/03/2021 08:56:01'","08/03/2021 8:00:00'","transfer"
"P3","08/03/2021 16:25:00'","11/03/2021 15:35:57'","transfer"
"P5","11/03/2021 15:56:49'","15/03/2021 12:26:19'","transfer"
"P1","15/03/2021 15:46:13'","18/03/2021 14:50:23'","droplets"
"P1","18/03/2021 14:51:03'","18/03/2021 16:28:17'","transfer"
"P2","18/03/2021 16:32:08'","22/03/2021 14:48:43'","transfer"
"P3","22/03/2021 15:06:24'","26/03/2021 11:51:32'","transfer"
"P5","26/03/2021 14:01:02'","27/03/2021 01:19:27'","stop_scale_over_weight"
"P5","30/03/2021 09:45:01'","30/03/2021 11:50:31'","transfer"
"P1","30/03/2021 13:26:10'","30/03/2021 15:32:59'","Irrig_out"
"P1","30/03/2021 15:39:15'","30/03/2021 21:34:58'","Irrig_out"
"P1","30/03/2021 21:40:59'","31/03/2021 03:36:52'","Irrig_out"
"P1","31/03/2021 03:43:59'","31/03/2021 09:36:56'","Clean_scale"
"P1","31/03/2021 09:45:59'","01/04/2021 08:12:38'","replace_pipe"
"P1","01/04/2021 08:14:01'","02/04/2021 13:55:05'","transfer"
"P5","02/04/2021 14:24:53'","07/04/2021 03:00:17'","stop_scale_over_weight"
"P5","07/04/2021 07:50:04'","08/04/2021 07:02:19'","transfer"
"P2","08/04/2021 11:51:01'","13/04/2021 11:38:54'","transfer"
"P3","13/04/2021 14:01:06'","19/04/2021 07:05:28'","transfer"
"P1","20/04/2021 08:37:15'","20/04/2021 15:30:55'","transfer"
"P2","20/04/2021 15:46:29'","21/04/2021 14:38:30'","transfer"
"P5","21/04/2021 15:08:30'","23/04/2021 14:41:49'","transfer"
"P1","23/04/2021 15:10:25'","26/04/2021 07:26:55'","transfer"
"P5","26/04/2021 13:59:12'","27/04/2021 06:41:03'","placing_walz"
"P5","27/04/2021 06:41:33'","27/04/2021 06:59:33'","placing_walz"
"P5","27/04/2021 07:05:16'","27/04/2021 14:25:27'","transfer"
"P1","27/04/2021 14:44:46'","28/04/2021 07:06:48'","placing_walz"
"P1","28/04/2021 07:09:51'","28/04/2021 07:09:54'","droplets"
"P1","28/04/2021 07:38:14'","28/04/2021 14:12:13'","transfer"
"P5","28/04/2021 14:33:33'","29/04/2021 06:37:13'","problem_solved"
"P5","29/04/2021 06:39:03'","29/04/2021 14:17:07'","transfer"
"P1","29/04/2021 14:41:34'","30/04/2021 07:19:08'","placing_walz"
"P1","30/04/2021 07:29:20'","03/05/2021 07:20:19'","finished"
