"Date","Plant","Leaf","length1","length2","length3"
"16/02/2021",1,1,24,12,
"16/02/2021",1,2,28,15,
"16/02/2021",1,3,33,15,
"16/02/2021",1,4,"43.5","25.5",
"16/02/2021",1,5,53,21,
"16/02/2021",1,6,63,24,
"16/02/2021",1,7,84,30,
"16/02/2021",2,1,26,"14.5",
"16/02/2021",2,2,31,14,
"16/02/2021",2,3,40,19,
"16/02/2021",2,4,45,18,
"16/02/2021",2,5,60,22,
"16/02/2021",2,6,61,26,
"16/02/2021",2,7,47,26,
"16/02/2021",3,1,28,15,
"16/02/2021",3,2,36,18,
"16/02/2021",3,3,39,20,
"16/02/2021",3,4,52,21,
"16/02/2021",3,5,65,"22.5",
"16/02/2021",3,6,"77.5",24,
"16/02/2021",3,7,43,25,
"16/02/2021",4,1,17,,
"16/02/2021",4,2,22,11,
"16/02/2021",4,3,28,,
"16/02/2021",4,4,34,18,
"16/02/2021",4,5,38,19,
"16/02/2021",4,6,45,21,
"16/02/2021",4,7,54,24,
"23/02/2021",1,1,"24.5","13.5",
"23/02/2021",1,2,30,"14.5",
"23/02/2021",1,3,35,"16.5",
"23/02/2021",1,4,46,19,
"23/02/2021",1,5,53,21,
"23/02/2021",1,6,"62.5","53.5","22.5"
"23/02/2021",1,7,"82.5",54,29
"23/02/2021",1,8,67,"50.5","24.5"
"23/02/2021",2,1,"23.5","12.5",
"23/02/2021",2,2,31,14,
"23/02/2021",2,3,40,18,
"23/02/2021",2,4,45,"18.5",
"23/02/2021",2,5,57,55,21
"23/02/2021",2,6,63,57,23
"23/02/2021",2,7,58,24,
"23/02/2021",3,1,26,13,
"23/02/2021",3,2,38,18,
"23/02/2021",3,3,43,40,20
"23/02/2021",3,4,50,47,20
"23/02/2021",3,5,"62.5",52,"22.5"
"23/02/2021",3,6,77,55,23
"23/02/2021",3,7,51,,
"23/02/2021",4,1,19,,
"23/02/2021",4,2,23,11,
"23/02/2021",4,3,26,,
"23/02/2021",4,4,31,16,
"23/02/2021",4,5,35,18,
"23/02/2021",4,6,34,"17.5",
"23/02/2021",4,7,54,21,
"23/02/2021",4,8,69,44,"21.5"

